session,session_type,meeting_no,date,section,item_order,item_text
424,임시회,제1호,2025년 4월 24일(목),일시,,2025년 4월 24일(목)
424,임시회,제1호,2025년 4월 24일(목),의사일정,1,철회 동의의 건
424,임시회,제1호,2025년 4월 24일(목),의사일정,2,가. 주한미군 장기미반환공여구역 지원에 관한 특별법안(김성원 의원 대표발의)(의안번호 2200013)
424,임시회,제1호,2025년 4월 24일(목),의사일정,3,청원 심사기간 연장 요구의 건
424,임시회,제1호,2025년 4월 24일(목),의사일정,4,2025년도 제1회 추가경정예산안(의안번호 2209986)
424,임시회,제1호,2025년 4월 24일(목),의사일정,5,현안 질의
424,임시회,제1호,2025년 4월 24일(목),상정된 안건,1,철회 동의의 건
424,임시회,제1호,2025년 4월 24일(목),상정된 안건,2,가. 주한미군 장기미반환공여구역 지원에 관한 특별법안(김성원 의원 대표발의)(의안번호 2200013)
424,임시회,제1호,2025년 4월 24일(목),상정된 안건,3,청원 심사기간 연장 요구의 건
424,임시회,제1호,2025년 4월 24일(목),상정된 안건,4,2025년도 제1회 추가경정예산안(의안번호 2209986)
424,임시회,제1호,2025년 4월 24일(목),상정된 안건,5,현안 질의
